iter	Passed	Remaining
0	0	970
1	1	782
2	2	719
3	2	699
4	3	670
5	4	687
6	4	691
7	5	673
8	5	660
9	6	647
10	7	634
11	7	649
12	8	640
13	9	637
14	9	634
15	10	627
16	10	625
17	11	633
18	12	629
19	12	632
20	13	630
21	14	634
22	15	637
23	15	637
24	16	635
25	16	630
26	17	628
27	18	624
28	18	624
29	19	623
30	19	619
31	20	616
32	20	614
33	21	609
34	21	604
35	22	601
36	22	597
37	23	594
38	23	590
39	24	586
40	25	586
41	25	585
42	26	588
43	27	586
44	27	585
45	28	583
46	28	581
47	29	580
48	29	577
49	30	575
50	30	572
51	31	570
52	31	568
53	32	568
54	33	567
55	33	566
56	34	567
57	34	567
58	35	566
59	36	564
60	36	562
61	37	560
62	37	558
63	38	556
64	38	554
65	39	553
66	39	550
67	40	549
68	40	548
69	41	549
70	41	548
71	42	548
72	43	546
73	43	545
74	44	544
75	44	542
76	45	541
77	45	539
78	46	537
79	46	537
80	47	536
81	48	538
82	48	534
83	49	535
84	49	535
85	50	533
86	50	532
87	51	531
88	51	529
89	52	528
90	52	527
91	53	526
92	53	525
93	54	524
94	55	524
95	55	524
96	56	526
97	57	528
98	58	528
99	58	527
100	59	525
101	59	524
102	60	523
103	60	525
104	61	526
105	62	525
106	62	524
107	63	524
108	64	523
109	64	523
110	65	522
111	65	522
112	66	521
113	66	520
114	67	519
115	68	520
116	68	520
117	69	519
118	70	519
119	70	518
120	71	518
121	71	516
122	72	515
123	72	515
124	73	514
125	74	513
126	74	512
127	75	511
128	75	511
129	76	511
130	76	510
131	77	509
132	78	508
133	78	507
134	79	507
135	79	506
136	80	505
137	80	504
138	81	504
139	81	503
140	82	502
141	83	503
142	83	503
143	84	503
144	85	502
145	85	502
146	86	502
147	87	504
148	88	504
149	89	505
150	89	504
151	90	503
152	90	501
153	91	500
154	91	499
155	92	497
156	92	496
157	93	496
158	93	495
159	94	495
160	94	494
161	95	494
162	96	493
163	96	492
164	97	491
165	97	491
166	98	490
167	98	489
168	99	488
169	99	487
170	100	487
171	101	486
172	101	485
173	102	486
174	112	531
175	113	530
176	113	529
177	114	527
178	114	527
179	115	525
180	116	525
181	116	524
182	117	523
183	117	523
184	118	522
185	119	522
186	119	521
187	120	520
188	120	518
189	121	518
190	122	517
191	122	517
192	123	516
193	124	516
194	125	516
195	126	517
196	128	525
197	129	525
198	130	523
199	130	522
200	131	521
201	131	520
202	132	519
203	133	519
204	133	518
205	134	518
206	134	516
207	135	515
208	135	514
209	136	513
210	136	511
211	137	510
212	137	509
213	138	507
214	138	506
215	139	506
216	140	505
217	141	508
218	142	508
219	143	507
220	143	506
221	144	505
222	144	504
223	145	503
224	145	502
225	146	501
226	146	500
227	147	499
228	148	500
229	149	501
230	150	500
231	151	499
232	151	498
233	152	497
234	152	496
235	152	495
236	153	494
237	154	493
238	154	492
239	155	492
240	156	493
241	157	492
242	157	491
243	158	490
244	158	489
245	159	488
246	159	486
247	160	485
248	160	484
249	161	483
250	161	483
251	162	482
252	163	481
253	163	480
254	164	479
255	164	478
256	164	476
257	165	475
258	165	474
259	166	473
260	166	472
261	167	471
262	167	470
263	168	469
264	168	468
265	169	467
266	170	466
267	170	466
268	171	465
269	171	464
270	172	463
271	172	462
272	173	461
273	173	460
274	174	459
275	174	459
276	175	458
277	176	457
278	176	457
279	177	456
280	178	456
281	178	455
282	179	454
283	180	453
284	180	452
285	181	451
286	181	451
287	182	450
288	182	449
289	183	448
290	183	447
291	184	446
292	185	446
293	186	446
294	187	448
295	188	448
296	189	447
297	189	446
298	190	445
299	190	445
300	191	444
301	191	443
302	192	443
303	194	444
304	195	445
305	196	445
306	197	445
307	197	444
308	198	443
309	199	443
310	199	442
311	200	441
312	201	442
313	203	443
314	203	443
315	204	442
316	204	441
317	205	440
318	206	440
319	206	439
320	207	438
321	208	439
322	210	440
323	211	440
324	211	439
325	212	438
326	212	438
327	213	437
328	214	437
329	215	436
330	216	437
331	217	437
332	218	436
333	218	436
334	219	435
335	220	434
336	220	434
337	221	433
338	222	433
339	224	436
340	225	436
341	226	435
342	227	435
343	228	434
344	228	434
345	229	433
346	231	436
347	232	436
348	233	435
349	234	434
350	234	433
351	235	432
352	235	432
353	236	431
354	238	432
355	239	433
356	240	433
357	241	432
358	241	431
359	242	430
360	243	430
361	243	429
362	245	430
363	246	431
364	247	430
365	248	429
366	248	428
367	249	427
368	249	427
369	250	426
370	251	425
371	253	428
372	255	428
373	255	428
374	256	427
375	257	427
376	258	426
377	259	426
378	261	428
379	262	427
380	262	427
381	263	426
382	264	426
383	265	425
384	284	454
385	285	453
386	285	452
387	286	451
388	286	450
389	287	450
390	288	449
391	289	448
392	291	450
393	292	450
394	293	449
395	293	448
396	294	446
397	294	445
398	295	444
399	296	444
400	297	444
401	300	446
402	301	446
403	302	445
404	302	444
405	303	444
406	305	444
407	307	446
408	309	446
409	309	445
410	311	445
411	312	445
412	313	445
413	315	445
414	316	445
415	316	444
416	317	443
417	318	443
418	319	443
419	320	442
420	322	443
421	322	442
422	323	441
423	324	440
424	325	439
425	325	438
426	326	438
427	327	437
428	329	438
429	330	437
430	330	436
431	331	435
432	332	435
433	333	434
434	334	435
435	336	435
436	337	435
437	338	434
438	339	434
439	341	434
440	344	436
441	345	435
442	346	436
443	347	435
444	349	435
445	350	434
446	352	435
447	352	434
448	353	434
449	354	433
450	356	433
451	358	434
452	359	433
453	360	433
454	361	432
455	361	431
456	363	431
457	365	432
458	365	431
459	366	430
460	366	429
461	367	427
462	368	427
463	368	426
464	369	425
465	370	424
466	372	425
467	373	424
468	373	423
469	374	422
470	374	421
471	375	420
472	376	419
473	376	418
474	378	417
475	379	417
476	379	416
477	380	415
478	380	414
479	381	413
480	381	412
481	382	411
482	383	410
483	384	409
484	385	409
485	386	408
486	387	408
487	387	407
488	388	406
489	389	404
490	389	404
491	390	403
492	391	402
493	392	402
494	393	401
495	394	400
496	394	399
497	395	398
498	395	397
499	396	396
500	397	395
501	397	394
502	398	393
503	399	393
504	400	392
505	401	391
506	402	390
507	402	389
508	403	388
509	403	387
510	403	386
511	404	385
512	405	384
513	405	383
514	407	384
515	408	383
516	409	382
517	409	381
518	410	380
519	410	379
520	411	378
521	412	377
522	412	376
523	413	375
